run_id,dataset,universe,expected_rows,loaded_rows,valid_price_rows,valid_1d_rows,valid_sector_rows,valid_market_cap_rows,completeness_pct,status,source,last_refresh_at,details,logged_at
universe_20260610_141119,universe,Nifty500,500,504,0,0,504,0,100.8,fresh,NSE Constituents,2026-06-10T14:11:21.252434+05:30,Fetched indices: Nifty500,2026-06-10T14:11:21.254352+05:30
prices_20260610_142252,prices,Nifty500,500,504,500,500,504,20,100.8,fresh,NSE Bhavcopy + yfinance fallback,2026-06-10T14:25:05.808507+05:30,"{'loaded_rows': 504, 'valid_price_rows': 500, 'valid_1d_rows': 500, 'valid_sector_rows': 504, 'latest_price_date': '2026-06-10'}",2026-06-10T14:25:05.811236+05:30
universe_20260610_150953,universe,Nifty500,500,500,0,0,500,0,100.0,fresh,NSE Constituents,2026-06-10T15:09:55.220540+05:30,Fetched indices: Nifty500,2026-06-10T15:09:55.222731+05:30
prices_20260610_150955,prices,Nifty500,500,500,500,500,500,20,100.0,fresh,NSE Bhavcopy + yfinance fallback,2026-06-10T15:12:00.830415+05:30,"{'loaded_rows': 500, 'valid_price_rows': 500, 'valid_1d_rows': 500, 'valid_sector_rows': 500, 'latest_price_date': '2026-06-10'}",2026-06-10T15:12:00.836338+05:30
prices_20260610_193031,prices,Nifty500,500,500,500,500,500,20,100.0,fresh,NSE Bhavcopy + yfinance fallback,2026-06-10T19:31:53.606835+05:30,"{'loaded_rows': 500, 'valid_price_rows': 500, 'valid_1d_rows': 500, 'valid_sector_rows': 500, 'latest_price_date': '2026-06-10'}",2026-06-10T19:31:53.610930+05:30
prices_20260611_085442,prices,Nifty500,500,500,500,500,500,20,100.0,fresh,NSE Bhavcopy + yfinance fallback,2026-06-11T08:55:53.854684+05:30,"{'loaded_rows': 500, 'valid_price_rows': 500, 'valid_1d_rows': 500, 'valid_sector_rows': 500, 'latest_price_date': '2026-06-10'}",2026-06-11T08:55:53.858981+05:30
filings_20260611_104207,filings,Nifty500,0,30,0,0,0,0,0.0,fresh,NSE Corporate Announcements,2026-06-11T10:42:09.149203+05:30,Stored filings rows: 30,2026-06-11T10:42:09.151737+05:30
news_20260611_104209,news,Nifty500,0,270,0,0,0,0,0.0,fresh,RSS/manual,2026-06-11T10:42:12.899548+05:30,News rows stored: 270,2026-06-11T10:42:12.902039+05:30
fundamentals_20260611_124534,fundamentals,Nifty500,500,493,0,0,0,493,98.6,fresh,screener,2026-06-11T12:45:34.621959+05:30,Imported from Master Document- Screener for Neo.csv; merge=True,2026-06-11T12:45:34.624207+05:30
prices_20260611_124553,prices,Nifty500,500,500,500,500,500,492,100.0,fresh,NSE Bhavcopy + yfinance fallback,2026-06-11T12:47:25.232813+05:30,"{'loaded_rows': 500, 'valid_price_rows': 500, 'valid_1d_rows': 500, 'valid_sector_rows': 500, 'latest_price_date': '2026-06-11'}",2026-06-11T12:47:25.238431+05:30
