ticker,as_of_date,market_cap_cr,enterprise_value_cr,pe,ev_ebitda,pb,ps,roe,roce,roa,industry_pe,historical_pe_3y,historical_pe_5y,historical_pe_10y,avg_roe_3y,avg_roe_5y,debt_equity,current_ratio,interest_coverage,revenue_ttm,ebitda_ttm,pat_ttm,revenue_growth_1y,revenue_growth_3y,revenue_growth_5y,ebitda_margin,pat_margin,ebitda_growth_1y,pat_growth_1y,pat_growth_3y,pat_growth_5y,promoter_holding,fii_holding,dii_holding,public_holding,latest_result_date,result_quarter,cash,total_debt,working_capital_days,cfo_ttm,source,ingested_at
360ONE,2026-06-11,42236.45,56686.17,34.71,20.08,4.29,9.68,14.39,12.13,5.18,20.69,36.55,32.88,34.51,18.25,18.86,1.62,2.69,2.45,4361.62,,,,28.48,21.4,62.06,,,22.73,22.73,26.8,6.24,63.33,12.75,17.67,,,,15931.31,,,screener,2026-06-11T19:36:08.942892+05:30
3MINDIA,2026-06-11,35793.47,35145.44,66.0,33.97,20.24,7.03,30.0,50.05,17.63,18.27,69.44,73.1,73.17,27.37,21.89,0.1,2.18,22.34,5089.76,,,,10.88,16.03,19.37,,,9.25,9.25,29.62,75.0,3.52,8.34,13.15,,,,169.75,,,screener,2026-06-11T12:45:34.591728+05:30
AADHARHFC,2026-06-11,20294.47,37823.57,18.3,13.42,2.67,5.53,15.93,11.38,4.38,14.64,21.35,21.35,21.35,16.85,16.59,2.49,1.63,2.04,3672.58,,,,21.59,18.45,76.35,,,25.25,25.25,26.63,64.9,6.13,9.15,19.83,,,,18743.78,,,screener,2026-06-11T12:45:34.591728+05:30
AARTIIND,2026-06-11,15524.96,19881.96,37.64,16.96,2.62,1.87,7.13,6.85,3.38,28.96,46.24,42.45,31.75,7.11,11.54,0.83,0.83,2.05,8286.0,,,,7.78,12.96,14.08,,,-8.91,-8.91,-4.67,42.09,7.38,20.12,30.39,,,,4966.0,,,screener,2026-06-11T12:45:34.591728+05:30
AAVAS,2026-06-11,10498.11,24340.38,16.0,12.3,2.08,3.91,13.92,9.92,3.29,14.64,24.97,27.57,40.11,13.98,13.97,3.11,7.44,1.77,2683.46,,,,18.61,19.46,73.67,,,15.07,15.07,17.74,48.88,16.74,22.14,12.24,,,,15685.57,,,screener,2026-06-11T12:45:34.591728+05:30
ABB,2026-06-11,142730.89,136980.84,93.69,61.98,18.2,10.9,22.39,29.93,12.83,35.14,83.74,96.25,74.72,24.7,21.6,0.01,2.05,108.67,13093.38,,,,15.51,17.8,14.13,,,29.76,29.76,57.13,75.0,8.19,9.28,7.5,,,,84.82,,,screener,2026-06-11T12:45:34.591728+05:30
ABBOTINDIA,2026-06-11,55841.81,53758.85,35.99,24.66,11.69,8.06,34.46,44.89,24.99,31.66,47.33,48.52,47.22,34.99,33.56,0.04,2.55,84.2,6929.05,,,,9.01,9.96,27.31,,,17.79,17.79,17.57,74.99,0.27,8.93,15.81,,,,171.99,,,screener,2026-06-11T12:45:34.591728+05:30
ABCAPITAL,2026-06-11,88904.97,263712.74,23.34,15.28,2.56,1.95,11.74,8.72,1.27,31.47,18.07,17.99,20.43,12.22,14.38,5.22,0.44,1.46,45508.98,,,,14.69,18.77,36.68,,,-7.44,-7.44,27.55,68.51,7.01,13.71,10.64,,,,179537.75,,,screener,2026-06-11T12:45:34.591728+05:30
ABDL,2026-06-11,16840.0,17825.35,73.2,31.39,10.12,4.29,14.35,18.43,5.77,42.42,70.27,70.27,70.27,14.31,11.39,0.69,1.34,3.63,3922.78,,,,7.63,10.81,13.81,,,422.81,422.81,147.05,80.91,3.23,4.82,11.03,,,,1150.53,,,screener,2026-06-11T12:45:34.591728+05:30
ABLBL,2026-06-11,11790.24,14716.83,56.37,10.3,8.36,1.4,15.56,14.67,2.46,49.62,59.55,59.55,59.55,,,2.14,1.07,1.74,8395.81,,,,,,16.01,,,,,,46.6,12.78,20.24,19.87,,,,3018.1,,,screener,2026-06-11T12:45:34.591728+05:30
ABREL,2026-06-11,13197.98,17435.71,,-54.42,3.53,32.41,-7.43,-4.26,-1.7,26.02,144.13,116.85,53.78,-2.8,0.16,1.52,1.49,-6.02,407.18,,,,-52.63,-31.07,-91.45,,,,,,50.21,9.04,16.4,23.34,,,,5636.49,,,screener,2026-06-11T12:45:34.591728+05:30
ABSLAMC,2026-06-11,31057.4,30982.11,31.79,23.49,7.68,16.83,25.16,32.24,22.91,36.7,22.79,20.34,20.34,26.42,27.32,0.02,1.04,254.17,1845.03,,,,11.0,8.95,59.87,,,17.9,17.9,13.17,74.82,5.75,11.55,7.85,,,,63.73,,,screener,2026-06-11T12:45:34.591728+05:30
ACC,2026-06-11,24448.02,24318.9,11.49,7.22,1.19,0.94,10.86,11.25,8.02,28.42,21.25,22.16,23.44,12.61,11.79,0.02,1.97,20.07,25961.85,,,,5.34,13.5,11.39,,,31.47,31.47,6.61,56.69,5.93,21.62,15.6,,,,428.61,,,screener,2026-06-11T12:45:34.591728+05:30
ACE,2026-06-11,10360.25,10290.95,24.95,16.76,5.17,3.16,22.9,31.7,13.93,30.28,41.05,31.25,31.74,26.71,24.43,0.0,1.33,26.18,3280.44,,,,14.95,21.73,15.36,,,38.27,38.27,40.49,65.42,9.58,1.84,23.1,,,,7.9,,,screener,2026-06-11T12:45:34.591728+05:30
ACMESOLAR,2026-06-11,23867.92,37606.12,48.02,16.6,4.05,11.8,10.38,8.89,2.12,27.38,42.62,42.62,42.62,8.43,4.47,3.93,2.17,1.6,2023.38,,,,16.04,3.64,88.04,,,149.47,149.47,51.46,83.29,3.6,7.05,5.96,,,,19896.29,,,screener,2026-06-11T12:45:34.591728+05:30
ACUTAAS,2026-06-11,25962.2,25772.97,72.85,49.38,15.65,19.38,24.05,31.56,20.17,31.66,62.35,58.51,58.51,18.48,18.21,0.02,3.82,148.62,1339.37,,,,29.5,31.5,35.87,,,61.97,61.97,45.77,32.66,19.48,19.6,28.24,,,,35.6,,,screener,2026-06-11T12:45:34.591728+05:30
