sector,stock_count,valid_return_count,advancers,decliners,unchanged,positive_pct,negative_pct,avg_return_1d,median_return_1d,avg_return_1w,avg_return_1m,market_cap_sum_cr,price_source,price_timestamp,updated_at
Chemicals,26,26,11,15,0,42.31,57.69,0.00266072102555597,-0.0015630357839291342,-0.0038220846985283197,-0.02742426313250215,60000.0,yfinance,2026-06-10T15:11:56.005019+05:30,2026-06-10T15:12:00.815697+05:30
Consumer,73,73,30,43,0,41.1,58.9,-0.0002734228560357966,-0.0024077886921557434,0.0014297995176898828,-0.03354750385971995,48000.0,yfinance,2026-06-10T15:11:56.036071+05:30,2026-06-10T15:12:00.816827+05:30
Capital Goods,24,24,9,15,0,37.5,62.5,-0.0030443004022056666,-0.004887548125668495,-0.008492491472617459,-0.04783172995244689,639000.0,yfinance,2026-06-10T15:11:55.999380+05:30,2026-06-10T15:12:00.814774+05:30
Pharma,49,49,15,34,0,30.61,69.39,-0.004360738631971513,-0.00564617314930993,0.013831595438133334,-0.00024555856685919966,98000.0,yfinance,2026-06-10T15:11:56.034698+05:30,2026-06-10T15:12:00.822304+05:30
Autos,38,38,7,31,0,18.42,81.58,-0.007573987706857843,-0.009499603976895199,-0.008030049821241156,-0.013305496320429936,380000.0,yfinance,2026-06-10T15:11:56.033297+05:30,2026-06-10T15:12:00.813573+05:30
Oil & Gas,17,17,6,11,0,35.29,64.71,-0.009921942098583625,-0.0036320245187780875,-0.008396439613256933,0.004403351316923245,2050000.0,yfinance,2026-06-10T15:11:55.885915+05:30,2026-06-10T15:12:00.820654+05:30
Financial Services,101,101,21,80,0,20.79,79.21,-0.011829655180343273,-0.013632306331328392,-0.004571174420878987,-0.040848366436951666,2000000.0,yfinance,2026-06-10T15:11:56.027383+05:30,2026-06-10T15:12:00.817697+05:30
Telecom,10,10,2,8,0,20.0,80.0,-0.013478231031074105,-0.013859571920300351,-0.0375797946611071,0.06402105705885311,950000.0,yfinance,2026-06-10T15:11:55.993353+05:30,2026-06-10T15:12:00.824563+05:30
Other,22,22,4,18,0,18.18,81.82,-0.014107936067924225,-0.014281684723236154,-0.015682148739360444,-0.03784605421136956,,yfinance,2026-06-10T15:11:56.021937+05:30,2026-06-10T15:12:00.821528+05:30
IT Services,90,90,12,78,0,13.33,86.67,-0.014825669813882423,-0.01423217714822883,-0.0196203485391104,-0.01989008169329202,2856500.0,yfinance,2026-06-10T15:11:56.031688+05:30,2026-06-10T15:12:00.818479+05:30
Real Estate,11,11,1,10,0,9.09,90.91,-0.017298506656562518,-0.01964713265836504,-0.026859150976870517,-0.0759440002898118,,yfinance,2026-06-10T15:11:55.924342+05:30,2026-06-10T15:12:00.823811+05:30
Media,4,4,0,4,0,0.0,100.0,-0.020977809559486915,-0.016151566456922395,0.0016676317254600559,0.05722374792461529,,yfinance,2026-06-10T15:11:56.028756+05:30,2026-06-10T15:12:00.819185+05:30
Power & Utilities,17,17,1,16,0,5.88,94.12,-0.021665379322232604,-0.019719184192010575,-0.02612229160971565,-0.04047457844366328,,yfinance,2026-06-10T15:11:55.986623+05:30,2026-06-10T15:12:00.823067+05:30
Metals,18,18,1,17,0,5.56,94.44,-0.022282133305102134,-0.01975613489896544,-0.06450112358970501,-0.051082533920076084,,yfinance,2026-06-10T15:11:56.011898+05:30,2026-06-10T15:12:00.819901+05:30
